Object Name,Object Classification,Epoch (TDB),Orbit Axis (AU),Orbit Eccentricity,Orbit Inclination (deg),Perihelion Argument (deg),Node Longitude (deg),Mean Anomoly (deg),Perihelion Distance (AU),Aphelion Distance (AU),Orbital Period (yr),Minimum Orbit Intersection Distance (AU),Orbital Reference,Asteroid Magnitude,Period Start,Period End,Possible Impacts,Cumulative Impact Probability,Asteroid Velocity,Asteroid Diameter (km),Cumulative Palermo Scale,Maximum Palermo Scale,Maximum Torino Scale
2006 WP1,Apollo Asteroid,57800,2.5323,0.7673,6.0807,22.9318,178.3111,156.9097,0.5893,4.48,4.03,0.092,66,28.3,2017,2017,1,5.2E-09,17.77,0.007,-8.31,-8.31,0
2013 YB,Apollo Asteroid,56649,1.5546,0.4289,0.1935,230.1575,269.0414,341.3143,0.8878,2.22,1.94,0.0001,3,31.4,2017,2046,23,7.6E-05,8.98,0.002,-6.6,-6.96,0
2008 US,Apollo Asteroid,54760,1.6111,0.6135,5.9633,90.7691,207.9248,23.9858,0.6227,2.6,2.05,0.0002,7,31.4,2017,2062,30,1.6E-05,18.33,0.002,-6.48,-6.87,0
2010 VR139,Apollo Asteroid,55514,1.4351,0.3025,0.3686,232.3711,155.4515,12.2856,1.001,1.87,1.72,0.0068,6,26.7,2017,2076,24,2E-07,4.99,0.016,-6.83,-6.95,0
2015 ME131,Apohele Asteroid,57197,0.8049,0.1989,28.8765,164.0285,314.3638,189.7431,0.6448,0.96,0.72,0.0577,2,19.2,2017,2096,85,2.3E-08,19.46,0.497,-3.85,-4.3,0
2010 XB73,Amor Asteroid,55545,1.7597,0.3275,3.7964,189.1305,247.4396,358.4865,1.1834,2.34,2.33,0.1985,4,22.5,2017,2110,55,2.8E-07,5.98,0.11,-5.03,-5.51,0
2005 TM173,Apollo Asteroid,53653,2.9749,0.6865,1.2728,170.8682,243.1809,354.3397,0.9327,5.02,5.13,0.0075,6,24.1,2017,2111,123,9E-07,8.79,0.052,-5.41,-6.42,0
2006 SF281,Apollo Asteroid,54009,1.3376,0.2642,3.0405,31.437,9.8503,341.1832,0.9842,1.69,1.55,0.0078,7,26.2,2017,2111,514,1.9E-06,4.49,0.02,-5.91,-7.58,0
2010 VP139,Apollo Asteroid,55514,1.2058,0.3078,2.7037,290.039,48.9017,41.5009,0.8346,1.58,1.32,0.0005,7,28.5,2017,2112,350,1.8E-05,2.04,0.007,-6.51,-7.54,0
2014 HR197,Apollo Asteroid,56772,1.5857,0.5855,3.5815,278.4725,31.2501,329.9559,0.6572,2.51,2,0.0041,7,26.9,2017,2112,187,7.9E-08,17.02,0.014,-7.18,-7.97,0
